sseqid	Category
-VFG050573-gb|WP_000768961.1-	Adherence
-VFG050576-gb|YP_005800453.1-	Adherence
-VFG050582-gb|YP_001086165.1-	Adherence
-VFG050583-gb|WP_001046489.1-	Adherence
-VFG050581-gb|WP_001046420.1-	Adherence
-VFG050585-gb|WP_020753490.1-	Adherence
-VFG050587-gb|WP_001046490.1-	Adherence
-VFG050590-gb|YP_005800452.1-	Adherence
-VFG050595-gb|WP_000788342.1-	Adherence
-VFG050593-gb|WP_000788336.1-	Adherence
-VFG050596-gb|YP_001086164.1-	Adherence
-VFG050599-gb|WP_000788337.1-	Adherence
-VFG050601-gb|WP_000788345.1-	Adherence
-VFG050604-gb|WP_134815946.1-	Adherence
-VFG050610-gb|WP_000477147.1-	Adherence
-VFG050608-gb|WP_000477151.1-	Adherence
-VFG050611-gb|YP_001085849.1-	Adherence
-VFG050614-gb|WP_000477149.1-	Adherence
-VFG050616-gb|WP_000477151.1-	Adherence
-VFG050619-gb|WP_000477146.1-	Adherence
-VFG050620-gb|YP_005800187.1-	Adherence
-VFG050625-gb|WP_000389061.1-	Adherence
-VFG050623-gb|WP_000389061.1-	Adherence
-VFG050626-gb|YP_001085823.1-	Adherence
-VFG050629-gb|WP_000389061.1-	Adherence
-VFG050631-gb|WP_000389061.1-	Adherence
-VFG050634-gb|WP_000389077.1-	Adherence
-VFG050640-gb|WP_000101096.1-	Adherence
-VFG050638-gb|WP_000101096.1-	Adherence
-VFG050641-gb|YP_001085822.1-	Adherence
-VFG050655-gb|WP_000729757.1-	Adherence
-VFG050653-gb|WP_000729762.1-	Adherence
-VFG050656-gb|YP_001085821.1-	Adherence
-VFG050670-gb|WP_000505931.1-	Adherence
-VFG050671-gb|YP_001085820.1-	Adherence
-VFG050672-gb|WP_000505931.1-	Adherence
-VFG050674-gb|WP_000505932.1-	Adherence
-VFG050676-gb|WP_000505931.1-	Adherence
-VFG050679-gb|WP_000505928.1-	Adherence
-VFG050680-gb|YP_005800157.1-	Adherence
-VFG050682-gb|WP_001160333.1-	Adherence
-VFG050683-gb|WP_001160337.1-	Adherence
-VFG050685-gb|WP_001160337.1-	Adherence
-VFG050686-gb|YP_001083312.1-	Adherence
-VFG050688-gb|WP_002001070.1-	Adherence
-VFG050689-gb|WP_002037247.1-	Adherence
-VFG050691-gb|WP_001160336.1-	Adherence
-VFG050696-gb|WP_000840549.1-	Adherence
-VFG050697-gb|WP_000840548.1-	Adherence
-VFG050699-gb|WP_000840548.1-	Adherence
-VFG050700-gb|YP_001083309.1-	Adherence
-VFG050703-gb|WP_000840547.1-	Adherence
-VFG050705-gb|WP_000840555.1-	Adherence
-VFG042960-gb|WP_009874617-	Adherence
-VFG042961-gb|WP_011848486-	Adherence
-VFG042962-gb|WP_005615186-	Adherence
-VFG042963-gb|WP_009874618-	Adherence
-VFG043522-gb|AAQ22366-	Adherence
-VFG042999-gb|ABG47033-	Adherence
-VFG043000-gb|ABG47034-	Adherence
-VFG043001-gb|ABG47035-	Adherence
-VFG043002-gb|ABG47036-	Adherence
-VFG043003-gb|ZP_07361438-	Adherence
-VFG043004-gb|ZP_07361439-	Adherence
-VFG043005-gb|ZP_07361440-	Adherence
-VFG038316-gb|WP_011707571-	Adherence
-VFG038317-gb|WP_016352170-	Adherence
-VFG038318-gb|WP_005314162-	Adherence
-VFG038319-gb|WP_013723412-	Adherence
-VFG038408-gb|WP_011704492-	Adherence
-VFG038409-gb|WP_011704492-	Adherence
-VFG038410-gb|WP_011899124-	Adherence
-VFG038411-gb|WP_005354944-	Adherence
-VFG038412-gb|WP_011704494-	Adherence
-VFG038413-gb|WP_043118350-	Adherence
-VFG038414-gb|WP_011899126-	Adherence
-VFG038415-gb|WP_005354942-	Adherence
-VFG038416-gb|WP_011704495-	Adherence
-VFG038417-gb|WP_016349294-	Adherence
-VFG038418-gb|WP_005316022-	Adherence
-VFG038419-gb|WP_005354941-	Adherence
